municipio,populacao_2021,densidemo_2010,IDHM_2010,receitas_2017,despesas_2017,PIBpercapita_2019
Itaitinga,38661,"236,51","0,626","100395,80561","91053,8776","19036,94"
Itapaj‚,53448,"110,01","0,623","113391,49212","101400,18181","12151,92"
Itapipoca,131687,"71,9","0,64","268626,66471","239926,54933","12969,77"
Itapi£na,20653,"31,64","0,604","65456,73673","45448,28476","7155,92"
Itarema,42595,52,"0,606","100102,24161","93239,96143","14717,77"
Itatira,22018,"24,12","0,562","76025,83975","60600,42204","6323,87"
Jaguaretama,18133,"10,15","0,612","49201,83037","35976,64248","9383,55"
Jaguaribara,11580,"15,55","0,618","28167,84306","26656,01281","11119,86"
Jaguaribe,34592,"18,33","0,621","85507,21442","82644,15907","14728,93"
Jaguaruana,33960,"37,16","0,624","69049,41624","69046,51936","14080,15"
Jardim,27187,"48,31","0,614","58468,86665","52203,50615","8497,98"
Jati,8150,"21,21","0,651","32089,96358","28222,35564","13889,97"
Jijoca de Jericoacoara,20351,"83,02","0,652","62313,16657","60923,78966","24924,54"
Juazeiro do Norte,278264,"1004,45","0,694","672950,28823","522709,24412","17772,55"
Juc s,24949,"25,4","0,598","55718,34201","53527,80103","9843,98"
Lavras da Mangabeira,31476,"32,8","0,613","67220,81129","56816,99038","8650,81"
Limoeiro do Norte,60232,"74,91","0,682","115645,24638","106746,35266","17569,97"
Madalena,20031,"17,48","0,61","41301,98044","39124,62753","7184,54"
Maracana£,230986,"1960,25","0,686","724429,98265","657108,09501","42778,34"
Maranguape,131677,"192,19","0,659","197385,57777","193904,06851","11897,88"
Marco,27822,"43,03","0,612","64664,2363","57587,68763","12190,47"
Martin¢pole,11407,"34,16","0,599","30155,02181","29615,54391","7147,23"
Massapˆ,39341,"62,11","0,616","101272,15812","81630,43037","7619,69"
Mauriti,48370,"42,15","0,605","88623,54391","87085,54274","8777,58"
Meruoca,15309,"91,38","0,618","40227,84038","35949,35702","7347,83"
Milagres,27413,"46,69","0,628","62154,81674","53491,71754","8754,93"
Milh„,13129,"26,05","0,626","35731,74713","31509,00394","10684,16"
Mira¡ma,13965,"18,29","0,592","31540,70901","31469,47985","6643,01"
Miss„o Velha,35566,"53,08","0,622","75644,0299","68822,84345","13325,51"
Momba‡a,43917,"20,14","0,582","82316,49363","75706,9863","7825,89"
Monsenhor Tabosa,17264,"18,85","0,61","44058,07424","43438,91752","8194,74"
Morada Nova,61590,"22,33","0,61","138124,47818","127183,74765","16312,75"
Mora£jo,8833,"19,42","0,581","22274,27278","21764,31104","7873,75"
Morrinhos,22830,"49,81","0,588","50690,40271","43150,09189","7192,97"
Mucambo,14561,"73,99","0,607","38188,35135","34550,89887","7391,43"
Mulungu,11056,"85,35","0,607","34670,52113","26115,92919","9857,56"
Nova Olinda,15798,"50,13","0,625","46687,0978","38351,07058","9353,48"
Nova Russas,32487,"41,69","0,614","61813,47715","57297,44701","9254,02"
Novo Oriente,28737,"28,92","0,605","59518,6181","54123,86991","8407,38"
Ocara,25958,"31,36","0,594","60494,65773","53834,80254","7424,97"
Or¢s,21342,"37,12","0,636","49148,46668","46212,7834","8634,91"
Pacajus,74145,243,"0,659","130640,47392","115063,05222","15884,12"
Pacatuba,85647,"547,74","0,675","155367,73579","143992,76127","12280,69"
Pacoti,12313,"103,61","0,635","33058,44979","30571,83887","10340,74"
Pacuj ,6565,"78,63","0,621","25845,9189","19807,39588","7812,49"
Palhano,9458,"20,13","0,638","23889,59752","21230,16995","9555,15"
Palm cia,13553,"101,9","0,622","22,15967","23779,59408","7049,06"
Paracuru,35526,"105,35","0,637","117339,29868","98096,46918","14420,42"
Paraipaba,33232,"99,83","0,634","8947,8277","65060,16841","13454,87"
Parambu,31391,"13,59","0,57","68411,84104","65099,22984","7617,58"
Paramoti,12276,"23,43","0,583","46031,13183","38441,85235","8799,21"
Pedra Branca,43359,"32,14","0,603","82925,93161","81111,07524","7698,6"
Penaforte,9207,"57,96","0,646","31652,88666","27208,08937","12428,39"
Pentecoste,38045,"25,68","0,629","82670,47311","77568,30441","13105,44"
Pereiro,16356,"36,35","0,601","39968,77252","33925,60465","22783,47"
Pindoretama,20964,"256,06","0,636","54134,13734","50810,22872","11968,67"
Piquet Carneiro,17210,"26,31","0,6","40085,45432","37094,36253","7973,95"
Pires Ferreira,11052,"42,02","0,591","31064,19943","27798,29652","6067,21"
Poranga,12358,"9,17","0,581","32651,06826","32252,54594","7232,71"
Porteiras,14920,"69,22","0,622","42013,5771","37198,78845","10373,44"
Potengi,11165,"30,34","0,562","31761,26025","28826,42168","7710,74"
Potiretama,6455,"14,93","0,604","23759,34692","23358,35107","10028,18"
Quiterian¢polis,21246,"19,14","0,594","50000,3633","47607,42957","7713,59"
Quixad ,88899,"39,91","0,659","176579,49543","166205,08141","11463,4"
Quixel“,16116,"26,81","0,591","1022,69811","37344,88892","8815,22"
Quixeramobim,82455,"21,95","0,642","177264,12065","180081,10224","15148,01"
Quixer‚,22432,"31,69","0,622","54896,30529","51231,49738","18106,04"
Reden‡„o,29238,"117,24","0,626","71514,3984","60338,75437","11790,12"
Reriutaba,18279,"50,75","0,601","45570,45518","45448,70518","9534,82"
Russas,79550,"43,91","0,674","163456,78801","151799,99666","14078,8"
Saboeiro,15757,"11,39","0,575","38364,08232","33403,24731","8137,32"
Salitre,16714,"19,21","0,54","42585,35118","41896,6991","7684,18"
Santana do Acara£,32851,"30,89","0,587","60165,60352","59824,66124","7088,77"
Santana do Cariri,17726,"20,07","0,612","57498,64883","50533,47256","7588,62"
Santa Quit‚ria,43719,"10,04","0,616","87598,63375","80916,4089","11499,93"
S„o Benedito,48354,"130,61","0,611","107397,28599","92516,11779","11350,31"
S„o Gon‡alo do Amarante,49306,"52,6","0,665","252306,83358","219614,33442","77639,32"
S„o Jo„o do Jaguaribe,7557,"28,17","0,654","21311,30681","18661,53561","12389,96"
S„o Lu¡s do Curu,13086,"100,74","0,62","29335,08881","24687,03039","8475,74"
Senador Pompeu,25418,"26,41","0,619","58035,9837","52551,18314","12362,48"
Senador S ,7758,"16,16","0,603","16444,7424","21791,74248","6841,58"
Sobral,212437,"88,67","0,714","620503,26479","574656,93699","21919,49"
Solon¢pole,18389,"11,5","0,625","54727,68971","49746,31073","11953,56"
Tabuleiro do Norte,32079,"33,89","0,645","60758,96795","53068,85358","11997,07"
Tamboril,26199,"12,98","0,58","73205,88552","68105,22591","9139,65"
Tarrafas,8555,"19,61","0,576","22118,1679","22655,93516","8006,78"
Tau ,59259,"13,87","0,633","136028,13652","135713,29548","11245,42"
Teju‡uoca,19551,"22,42","0,584","51853,41777","43425,04017","6916,28"
Tiangu ,77111,"75,8","0,657","152865,84876","148371,08625","19276,27"
Trairi,56653,"55,55","0,606","109451,09277","107186,91603","14036,17"
Tururu,16588,"71,23","0,606","38075,48124","31969,73697","7128,48"
Ubajara,35295,"75,5","0,648","84777,89878","63907,03794","16695,06"
Umari,7740,"28,59","0,591","203,81705","18511,25613","7336,3"
Umirim,19976,"59,35","0,587","62155,59944","45115,41853","7977,17"
Uruburetama,22223,"203,61","0,639","46252,58477","42868,59476","13527,84"
Uruoca,13988,"18,49","0,566","36175,66262","34549,30811","12809,79"
Varjota,18520,"98,07","0,611","51275,61286","47814,72672","18238,38"
V rzea Alegre,41078,"45,99","0,629","79368,15813","71300,30285","9768,71"
Vi‡osa do Cear ,61916,"41,9","0,571","126024,78879","104188,07011","7921,75"
